Host,Time Stamp,Method,Endpoint,Protocol,Status Code,Content Size
10.180.6.83,14/Feb/2023:13:29:55,GET,/assets/vendor/owl.carousel/owl.carousel.min.js,HTTP/1.1,200,44342.0
10.180.6.83,14/Feb/2023:13:29:55,GET,/favicon.ico,HTTP/1.1,404,548.0
10.180.6.83,14/Feb/2023:13:29:57,GET,/,HTTP/1.1,200,5952.0
10.180.6.83,14/Feb/2023:13:29:57,GET,/assets/vendor/icofont/icofont.min.css,HTTP/1.1,200,92208.0
10.180.6.83,14/Feb/2023:13:29:57,GET,/assets/vendor/venobox/venobox.css,HTTP/1.1,200,20309.0
10.180.6.83,14/Feb/2023:13:29:57,GET,/assets/vendor/owl.carousel/assets/owl.carousel.min.css,HTTP/1.1,200,3351.0
10.180.6.83,14/Feb/2023:13:29:57,GET,/assets/vendor/boxicons/css/boxicons.min.css,HTTP/1.1,200,63235.0
10.180.6.83,14/Feb/2023:13:29:57,GET,/assets/vendor/aos/aos.css,HTTP/1.1,200,26053.0
10.180.6.83,14/Feb/2023:13:29:57,GET,/assets/css/style.css,HTTP/1.1,200,35417.0
10.180.6.83,14/Feb/2023:13:29:57,GET,/assets/vendor/remixicon/remixicon.css,HTTP/1.1,200,110438.0
10.180.6.83,14/Feb/2023:13:29:57,GET,/js/jquery.js,HTTP/1.1,200,106323.0
10.180.6.83,14/Feb/2023:13:29:57,GET,/js/multipage.js,HTTP/1.1,200,956.0
10.180.6.83,14/Feb/2023:13:29:57,GET,/assets/vendor/bootstrap/css/bootstrap.min.css,HTTP/1.1,200,161409.0
10.180.6.83,14/Feb/2023:13:29:58,GET,/assets/vendor/php-email-form/validate.js,HTTP/1.1,200,5020.0
10.180.6.83,14/Feb/2023:13:29:58,GET,/assets/vendor/jquery.easing/jquery.easing.min.js,HTTP/1.1,200,2532.0
10.180.6.83,14/Feb/2023:13:29:58,GET,/assets/vendor/waypoints/jquery.waypoints.min.js,HTTP/1.1,200,9028.0
10.180.6.83,14/Feb/2023:13:29:58,GET,/assets/vendor/counterup/counterup.min.js,HTTP/1.1,200,2406.0
10.180.6.83,14/Feb/2023:13:29:58,GET,/assets/vendor/venobox/venobox.min.js,HTTP/1.1,200,15022.0
10.180.6.83,14/Feb/2023:13:29:58,GET,/assets/vendor/owl.carousel/owl.carousel.min.js,HTTP/1.1,200,44342.0
10.180.6.83,14/Feb/2023:13:29:58,GET,/assets/vendor/isotope-layout/isotope.pkgd.min.js,HTTP/1.1,200,35445.0
