Host,Date,Time,Method,Endpoint,Protocol,Status Code,Content Size,No of Requests
2050150420,16-Feb-23,14:14:31,4,/apim/devportal/site/public/dist/vendors~ProtectedApp.a1a55e633861af6d46c0.bundle.js,HTTP/1.1,0,193334,282
2050150420,16-Feb-23,14:14:31,4,/apim/devportal/services/configs?loginPrompt=false,HTTP/1.1,4,0,282
2050150420,16-Feb-23,14:14:31,4,/apim/oauth2/authorize?response_type=code&client_id=QT0IGbHJyodoAAlOB3skkaFkXoEa&scope=apim:admin%20apim:api_key%20apim:app_import_export%20apim:app_manage%20apim:store_settings%20apim:sub_alert_manage%20apim:sub_manage%20apim:subscribe%20openid&state=/&redirect_uri=https://uan.cdacb.in/apim/devportal/services/auth/callback/login&prompt=none,HTTP/1.1,4,0,282
2050150420,16-Feb-23,14:14:32,4,/apim/devportal/services/auth/callback/login?error_description=Authentication+required&state=%2F&error=login_required,HTTP/1.1,4,0,282
2050150420,16-Feb-23,14:14:32,4,/apim/devportal/services/auth/callback/logout?referrer=/apis,HTTP/1.1,4,0,282
2050150420,16-Feb-23,14:14:32,4,/apim/devportal/site/public/theme/temporary_features_config.json,HTTP/1.1,0,0,282
2050150420,16-Feb-23,14:14:32,4,/apim/devportal/site/public/theme/temporary_environments_config.json,HTTP/1.1,0,0,282
2050150420,16-Feb-23,14:14:32,4,/api/am/devportal/v2/tenants?state=active,HTTP/1.1,0,96,282
2050150420,16-Feb-23,14:14:32,4,/apim/devportal/logout?referrer=/apis,HTTP/1.1,0,979,282
2050150420,16-Feb-23,14:14:32,4,/apim/devportal/site/public/css/main.css,HTTP/1.1,0,1697,282
2050150420,16-Feb-23,14:14:32,4,/apim/devportal/site/public/theme/userTheme.js,HTTP/1.1,0,305,282
2050150420,16-Feb-23,14:14:32,4,/apim/devportal/site/public/fonts/iconfont/MaterialIcons.js,HTTP/1.1,0,6615,282
2050150420,16-Feb-23,14:14:32,4,/apim/devportal/services/settings/settings.js,HTTP/1.1,0,998,282
2050150420,16-Feb-23,14:14:32,4,/apim/devportal/site/public/fonts/iconfont/material-icons.css,HTTP/1.1,0,970,282
2050150420,16-Feb-23,14:14:32,4,/apim/devportal/site/public/css/overrides.css,HTTP/1.1,0,0,282
2050150420,16-Feb-23,14:14:32,4,/apim/devportal/site/public/dist/index.4d8ef87846e92153c06c.bundle.js,HTTP/1.1,0,267130,282
2050150420,16-Feb-23,14:14:32,4,/apim/devportal/site/public/locales/en.json,HTTP/1.1,0,44152,282
2050150420,16-Feb-23,14:14:32,4,/api/am/devportal/v2/swagger.yaml,HTTP/1.1,0,22486,282
2050150420,16-Feb-23,14:14:32,4,/apim/devportal/site/public/images/_favicon.ico,HTTP/1.1,0,1150,282
2050150420,16-Feb-23,14:14:32,4,/apim/devportal/site/public/theme/userTheme.js,HTTP/1.1,0,305,282
2050150420,16-Feb-23,14:14:32,4,/apim/devportal/site/public/dist/ProtectedApp.824ba3b4b8e9a2967729.bundle.js,HTTP/1.1,0,70556,282
2050150420,16-Feb-23,14:14:32,4,/apim/devportal/site/public/fonts/iconfont/MaterialIcons.js,HTTP/1.1,0,6615,282
2050150420,16-Feb-23,14:14:32,4,/apim/devportal/site/public/dist/vendors~ProtectedApp.a1a55e633861af6d46c0.bundle.js,HTTP/1.1,0,193248,282
2050150420,16-Feb-23,14:14:32,4,/apim/devportal/services/settings/settings.js,HTTP/1.1,0,998,282
2050150420,16-Feb-23,14:14:32,4,/apim/devportal/site/public/dist/index.4d8ef87846e92153c06c.bundle.js,HTTP/1.1,0,267362,282
2050150420,16-Feb-23,14:14:34,4,/api/am/devportal/v2/settings,HTTP/1.1,0,646,282
2050150420,16-Feb-23,14:14:34,4,/apim/devportal/site/public/images/_favicon.ico,HTTP/1.1,0,1150,282
2050150420,16-Feb-23,14:14:34,4,/apim/devportal/site/public/dist/ProtectedApp.824ba3b4b8e9a2967729.bundle.js,HTTP/1.1,0,70519,282
2050150420,16-Feb-23,14:14:34,4,/apim/devportal/site/public/dist/vendors~ProtectedApp.a1a55e633861af6d46c0.bundle.js,HTTP/1.1,0,193272,282
2050150420,16-Feb-23,14:14:34,4,/apim/devportal/site/public/theme/temporary_environments_config.json,HTTP/1.1,0,0,282
2050150420,16-Feb-23,14:14:34,4,/api/am/devportal/v2/tenants?state=active,HTTP/1.1,0,96,282
2050150420,16-Feb-23,14:14:34,4,/apim/devportal/site/public/theme/temporary_features_config.json,HTTP/1.1,0,0,282
2050150420,16-Feb-23,14:14:34,4,/apim/devportal/site/public/dist/vendors~ApiListing~Apis~ApplicationDetails.08ac37224f0cd5518eac.bundle.js,HTTP/1.1,0,5277,282
2050150420,16-Feb-23,14:14:34,4,/apim/devportal/site/public/dist/vendors~Apis.807bf6b9a5502492c51d.bundle.js,HTTP/1.1,0,11628,282
2050150420,16-Feb-23,14:14:34,4,/apim/devportal/site/public/dist/Apis~Landing.24e9096bfcfa01d7b293.bundle.js,HTTP/1.1,0,6269,282
2050150420,16-Feb-23,14:14:34,4,/apim/devportal/site/public/dist/Apis.6b300e16fae186a1127c.bundle.js,HTTP/1.1,0,21535,282
2050150420,16-Feb-23,14:14:34,4,/oidc/checksession?client_id=QT0IGbHJyodoAAlOB3skkaFkXoEa&redirect_uri=https://uan.cdacb.in/apim/devportal/services/auth/callback/login,HTTP/1.1,0,3089,282
2050150420,16-Feb-23,14:14:34,4,/apim/devportal,HTTP/1.1,3,162,282
2050150420,16-Feb-23,14:14:34,4,/apim/devportal/site/public/dist/vendors~Apis~ApplicationDetails.6b8bb269d872c149f64e.bundle.js,HTTP/1.1,0,62808,282
2050150420,16-Feb-23,14:14:34,4,/apim/devportal/site/public/images/logo.svg,HTTP/1.1,0,74991,282
2050150420,16-Feb-23,14:14:34,4,/apim/devportal/site/public/images/appbarBack.png,HTTP/1.1,0,1964,282
2050150420,16-Feb-23,14:14:34,4,/apim/devportal/site/public/fonts/Open_Sans/mem8YaGs126MiZpBA-UFVZ0bf8pkAg.woff2,HTTP/1.1,0,8892,282
2050150420,16-Feb-23,14:14:34,4,/apim/devportal/site/public/fonts/iconfont/MaterialIcons-Regular.woff2,HTTP/1.1,0,60840,282
2050150420,16-Feb-23,14:14:34,4,/apim/devportal/site/public/fonts/Open_Sans/mem5YaGs126MiZpBA-UN7rgOUuhpKKSTjw.woff2,HTTP/1.1,0,8800,282
2050150420,16-Feb-23,14:14:34,4,/apim/devportal/,HTTP/1.1,0,979,282
2050150420,16-Feb-23,14:14:35,4,/api/am/devportal/v2/api-categories,HTTP/1.1,0,21,282
2050150420,16-Feb-23,14:14:35,4,/api/am/devportal/v2/apis?limit=10&offset=0,HTTP/1.1,0,622,282
2050150420,16-Feb-23,14:14:35,4,/api/am/devportal/v2/tags,HTTP/1.1,0,92,282
